Theta (rad),Displacement DX (m)
0.0,0
3.1447373909807737,2.4999793390989566e-07
6.289474781961547,9.999919778902466e-07
9.43421217294232,2.249982856916688e-06
12.578949563923095,3.999971780244138e-06
15.723686954903869,6.249960441184754e-06
18.86842434588464,8.99995101555362e-06
22.013161736865417,1.2249946164111236e-05
25.15789912784619,1.599994903012103e-05
28.30263651882696,2.02499632415698e-05
31.447373909807737,2.4999992909835456e-05
34.59211130078851,3.0250042629687002e-05
37.73684869176928,3.600011747995069e-05
40.881586082750054,4.225022302351e-05
44.026323473730834,4.900036530663954e-05
47.171060864711606,5.625055085967112e-05
50.31579825569238,6.400078669699383e-05
53.46053564667315,7.225108031616578e-05
56.60527303765392,8.100143969991258e-05
59.7500104286347,9.025187331390683e-05
62.894747819615475,0.00010000239010832246
66.03948521059624,0.00011025299951739065
69.18422260157702,0.00012100371145917777
72.3289599925578,0.00013225453633647355
75.47369738353856,0.0001440054850356809
78.61843477451934,0.00015625656892792605
81.76317216550011,0.00016900779986839254
84.90790955648089,0.00018225919019698722
88.05264694746167,0.00019601075273745217
91.19738433844243,0.0002102625007986969
94.34212172942321,0.0002250144481736882
97.48685912040398,0.0002402666091405603
100.63159651138476,0.00025601899846150467
103.77633390236554,0.0002722716313843243
106.9210712933463,0.0002890245236408795
110.06580868432708,0.00030627769144819794
113.21054607530785,0.0003240311515086969
116.35528346628863,0.0003422849210095169
119.5000208572694,0.00036103901762274404
122.64475824825017,0.0003802934595062979
125.78949563923095,0.00040004826530326554
128.93423303021171,0.0004203034541419015
132.07897042119248,0.0004410590456360719
135.22370781217327,0.00046231505988569843
138.36844520315404,0.0004840715174754262
141.5131825941348,0.0005063284394772882
144.6579199851156,0.0005290858474478188
147.80265737609636,0.00055234376342983
150.94739476707713,0.0005761022099530777
154.09213215805792,0.0006003612100327071
157.2368695490387,0.0006251207871708075
160.38160694001945,0.0006503809653553017
163.52634433100022,0.000676141769061056
166.671081721981,0.0007024032232501032
169.81581911296178,0.0007291653533703091
172.96055650394254,0.0007564281853573718
176.10529389492334,0.0007841917456337111
179.2500312859041,0.0008124560611086906
182.39476867688487,0.000841221159179506
185.53950606786566,0.0008704870677305188
188.68424345884642,0.0009002538151339223
191.8289808498272,0.0009305214302490761
194.97371824080795,0.0009612899424240595
198.11845563178875,0.000992559381494118
201.2631930227695,0.0010243297777836613
204.40793041375028,0.0010566011621042648
207.55266780473107,0.0010893735657568904
210.69740519571184,0.001122647020530776
213.8421425866926,0.0011564215587036575
216.98687997767337,0.0011906972130428795
220.13161736865416,0.0012254740168040623
223.27635475963493,0.001260752003732879
226.4210921506157,0.0012965312080635005
229.5658295415965,0.0013328116645208166
232.71056693257725,0.0013695934083182149
235.85530432355802,0.0014068764751602458
239.0000417145388,0.0014446609012404021
242.14477910551958,0.001482946723243339
245.28951649650034,0.0015217339783435424
248.4342538874811,0.0015610227042066604
251.5789912784619,0.001600812938988394
254.72372866944266,0.0016411047213364949
257.86846606042343,0.001681898090388989
261.0132034514042,0.0017231930857759536
264.15794084238496,0.0017649897476184062
267.3026782333658,0.0018072881165291932
270.44741562434655,0.001850088233613878
273.5921530153273,0.0018933901404694087
276.7368904063081,0.0019371938791854504
279.88162779728884,0.001981499492343941
283.0263651882696,0.0020263070230199798
286.17110257925043,0.0020716165147816046
289.3158399702312,0.0021174280116895705
292.46057736121196,0.002163741558298904
295.6053147521927,0.002210557199657126
298.7500521431735,0.0022578749813069177
301.89478953415426,0.0023056949492838985
305.039526925135,0.0023540171501186258
308.18426431611584,0.002402841630835928
311.3290017070966,0.002452168438955793
314.4737390980774,0.002501997622492702
317.61847648905814,0.002552329229956518
320.7632138800389,0.0026031633103524854
323.90795127101967,0.002654499913181896
327.05268866200043,0.002706339088441867
330.19742605298126,0.00275868088662512
333.342163443962,0.002811525358721756
336.4869008349428,0.0028648725562177013
339.63163822592355,0.002918722531096485
342.7763756169043,0.002973075335838793
345.9211130078851,0.0030279310234218038
349.06585039886585,0.00308328964732163
352.21058778984667,0.0031391512615119854
355.35532518082744,0.003195515920463965
358.5000625718082,0.003252383679148707
361.64479996278897,0.0033097545930347305
364.78953735376973,0.0033676287180905984
367.9342747447505,0.003426006110783142
371.0790121357313,0.003484886828079903
374.2237495267121,0.003544270927447579
377.36848691769285,0.0036041584668535798
380.5132243086736,0.0036645495047649135
383.6579616996544,0.003725444100149966
386.80269909063514,0.003786842312478056
389.9474364816159,0.003848744201719878
393.09217387259673,0.003911149828347282
396.2369112635775,0.003974059253334827
399.38164865455826,0.004037472538158227
402.526386045539,0.0041013897447963465
405.6711234365198,0.004165810935731207
408.81586082750056,0.004230736173947092
411.9605982184813,0.004296165522932327
415.10533560946214,0.004362099046678614
418.2500730004429,0.004428536809682138
421.3948103914237,0.004495478876942904
424.53954778240444,0.004562925313966071
427.6842851733852,0.004630876186761723
430.82902256436597,0.004699331561845099
433.97375995534674,0.004768291506237032
437.11849734632756,0.0048377560874648395
440.2632347373083,0.0049077253735616555
443.4079721282891,0.004978199433067765
446.55270951926985,0.005049178335029936
449.6974469102506,0.005120662149002531
452.8421843012314,0.005192650945047728
455.9869216922122,0.005265144793735743
459.131659083193,0.005338143766144832
462.27639647417374,0.005411647933862396
465.4211338651545,0.005485657368984986
468.56587125613527,0.005560172144117859
471.71060864711603,0.00563519233237697
474.8553460380968,0.005710718007387872
478.0000834290776,0.005786749243287037
481.1448208200584,0.005863286114721866
484.28955821103915,0.005940328696850239
487.4342956020199,0.006017877065342958
490.5790329930007,0.006095931296381529
